method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,100RMS,100bias,l15,l20,bias50,Edyrs15,Edyrs20,Mdyrs15,Mdyrs20,Fdyrs15,Fdyrs20,EdyrsA,RMSyrsA,ncEdyrs,e100log-l,e100RMS,e100bias,el15,el20,ebias50,eEdyrs15,eEdyrs20,eMdyrs15,eMdyrs20,eFdyrs15,eFdyrs20,eEdyrsA,eRMSyrsA,nceEdyrs
lag10y,42/1_Run_Means,c,3.075626677443254,0.03378010061992655,152,71,2.7568347752369407e-09,6.196960916118982e-06,0.04668128449841358,0.06506736994247397,-0.042247802070949386,10.736695434635124,-168.9464441283931,0.0863728352956834,-0.07932263492198474,0.7370390345740624,4.548418702647096,-0.057627296447753905,4.833333333475366,2.0833333334999224,4.833333333475366,2.0833333334999224,4.833333333475366,2.0833333334999224,4.535256410422107,4.712302615677912,14.0,-705.2077102139551,0.1302864574398252,-0.12476814355744358,0.0199083939886572,2.097760494166491,-0.09829903125764232,7.916666666803167,3.0000000001646185,7.916666666803167,3.0000000001646185,7.916666666803167,3.0000000001646185,7.099358974514539,7.099358974514539,14.0
lag5y,42/1_Run_Means,c,6.232225412166605,0.04037147246707226,83,32,9.681204859052938e-08,2.8826290163148003e-05,0.7189346513522938,0.05942602927788726,-0.019963919598123304,165.3549698110276,24.48117947713545,0.06163873755771834,-0.03701721362853319,12.876940620033634,3.484917449440707,-0.029482383728027355,2.2500000001446097,-1.6666666664968943,5.083333333475366,-1.6666666664968943,-0.5833333331861468,-1.6666666664968943,1.7692307693981162,2.6915902586199247,16.2,-333.9567867239126,0.09879200448480235,-0.08246272226399201,1.9223002153935311,7.12507275648377,-0.07015411853791578,5.33333333347241,-0.7499999998321982,8.166666666803167,-0.7499999998321982,2.500000000141654,-0.7499999998321982,4.333333333490757,4.333333333490757,16.2
raw1y,42/1_Run_Means,c,34.79728555494965,0.1084492984226919,0,0,0.9904620123422663,0.9904620123422663,0.8838714104122435,0.09875453988819782,-0.0016841822085173256,203.290424394816,81.58166871474816,0.09664214449749481,-0.001426036706131501,3.7345716782539347,3.1496880057536125,-0.00446788787841797,0.5277777779238022,1.6388888890558821,-4.249999999849479,9.416666666826586,-4.249999999849479,-3.9166666664946206,-0.1400641023967416,1.4048495849396478,38.3,68.46838738193796,0.11089135356092318,-0.04687154534159031,2.4945252434633094,3.2561394577194025,-0.04513962268830639,3.611111111251603,2.5555555557205785,7.083333333470591,10.333333333491282,-1.166666666521678,-2.9999999998299245,2.4240384616972204,2.4240384616972204,38.3
raw1y,42/1_Run_Means,r,34.79728555494965,0.1084492984226919,0,0,0.9904620123422663,0.9904620123422663,0.8838714104122435,0.09875453988819782,-0.0016841822085173256,203.290424394816,81.58166871474816,0.09664214449749481,-0.001426036706131501,3.7345716782539347,3.1496880057536125,-0.00446788787841797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.46838738193796,0.11089135356092318,-0.04687154534159031,2.4945252434633094,3.2561394577194025,-0.04513962268830639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cent20y,42/1_Run_Means,r,1.0,0.028586517171240857,0,0,1.0,1.0,2.651750371427935,0.0,0.0,609.902585428425,229.08490656401045,0.0,0.0,11.073980588730091,14.605092566422902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.904859727428516,0.05247666954664287,-0.04544550863545882,1.0742259215815764,12.63873247538292,-0.04067173480988842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cent21y,42/1_Run_Means,r,1.4455151187020918,0.02835620329542016,0,0,0.9999108735673033,0.9999108735673033,2.652525446291843,0.003480071444047727,1.998759204556492e-05,610.0808526471238,228.3010145773371,0.003234495563432122,-9.701169066533719e-05,10.455529074431885,14.851066941215286,-0.0005473236810593252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.58595613929467,0.052147242618372086,-0.04554252032612415,1.0338478151001933,10.550992048908741,-0.041219058490947744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cent30y,42/1_Run_Means,r,0.6576427926802243,0.02745035812916707,0,0,0.9912562948620227,0.9912562948620227,2.417535504652575,0.019487598539515635,0.0008431498209635372,531.8578110235665,198.69545072533697,0.017113316823059308,-0.0009758298359220084,8.652124896185802,14.126517548394796,-0.007701525006975458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.64549282366812,0.049109178722340614,-0.04648006075905773,5.087853659808435,10.427009554201572,-0.04783222561792124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLS_refit,42/2_LT_Fits,c,0.7905873787885955,0.030620074876999793,139,135,6.447096647324043e-30,1.5934780506529498e-29,-27.69575138649986,0.24779763634027938,-0.19252646848895505,-3877.4051941099806,-3645.697774284007,0.301814968863689,-0.29248962872976486,1.0400964094320371e-21,2.1941325486305062e-20,-0.283057386471748,16.833333333464452,19.41666666681749,16.833333333464452,19.41666666681749,16.833333333464452,19.41666666681749,17.79487179500699,18.02529680174131,12.0,-4849.117251102925,0.3430123339668914,-0.3379351373652237,1.6202184270186802e-30,4.6991090650906915e-23,-0.3237291212816364,19.916666666792253,20.333333333482187,19.916666666792253,20.333333333482187,19.916666666792253,20.333333333482187,19.967948718072194,19.967948718072194,12.0
OLS_refit,42/2_LT_Fits,r,6.200207008629372e-14,0.023252700516020013,183,178,1.2152479941157252e-71,9.428784144894028e-71,-50.680134110072125,0.21627212511643543,0.005443330728659969,-9578.545346803632,-2377.0292691115656,0.1564664623069479,-0.022476064484721933,18.411627834561397,9.522507701728205e-13,-0.16335340607051813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2082.4542521638805,0.16417806445657102,-0.06792157312018075,5.331758243103334,1.1447564192138458e-14,-0.20402514088040652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLS_AR5all,42/2_LT_Fits,r,1.3950465769416087e-13,0.040201418283559005,178,164,2.3541281278290827e-64,2.4931266805861493e-63,-39.91735818013827,0.4387755738528289,-0.26014803084115945,-7544.380696046133,-7225.665020463706,0.6278117539714457,-0.5585102789130276,1.0010840179281129e-27,6.656380331208523e-61,-0.8319046183994818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8234.639456439325,0.6674718148515113,-0.6039557875484864,1.744588651079214e-31,1.7323008277517222e-62,-0.8725763532093703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
