method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,100RMS,75RMS,100bias,bias50,xyear0.5,xyear1.0,xyear1.5
cent20y,42/1_Run_Means,r,1.0,0.030156677065473265,0,0,1.0,1.0,2.59339808722299,0.0,0.0,401.97670351956344,236.91126137264285,0.0,0.0,0.0,0.0,1984.8749999999882,2010.2916666666317,
lowess1dt36wnc,42/3_ST_Fits,c,3.8814540898628747,0.06588488340706436,0,0,0.5544914112315764,0.9721180235251513,1.5338983834176219,0.04891345045744301,-0.01353176567834824,246.9576397302371,165.40062047715756,0.041739782105785384,0.04039603078676823,-0.00839242160626265,-0.02840244572223084,1986.791666666653,2012.29166666663,
Kal_flexLin,42/5_Kalman,c,5.0191825062059054,0.05317657451406971,0,0,0.813099680403957,0.813099680403957,1.63976935209961,0.04661619426053319,-0.009988250666313005,264.0028656880372,167.06935574757648,0.04137100027347544,0.039396360320700353,-0.0072941700348869215,-0.023937328996311905,1986.791666666653,2013.3749999999623,
GAM_AR1,42/4_GAM_AR1,c,6.467912664497628,0.05061302465082614,17,7,5.1575121672123955e-05,0.010006846176683343,1.2468247211813754,0.05821101440356458,-0.010690810030788086,177.0491104077553,139.77238412109463,0.04905063158651904,0.04403199246889584,-0.009277303798888255,-0.02907816813080963,1986.8749999999864,2013.0416666666292,
CGWL10y_sfUKCP,44/44_EarthModel_CGWL,c,6.429758972844828,0.05027222413665209,0,0,0.9682962962962962,0.9682962962962962,1.6826605799362895,0.039454013781989185,-0.005239033724479407,255.764408150316,164.74703200660096,0.0374429422478418,0.03369981782925594,-0.005320367403067083,0.0004928340737209617,1986.124999999987,2009.6249999999657,
GWI_tot_CGWL,43/3_Human_Induced,c,2.54156134573324,0.07525575637264584,0,0,0.9955393465192861,0.9955393465192861,1.5931477306547381,0.023395698841154458,0.00021228526540636888,113.11348887648641,113.11348887648641,0.023395698841154455,0.023395698841154458,0.00021228526540636848,-0.0022140541497014153,1985.3749999999877,2012.0416666666301,
GWI_tot_SR15,43/3_Human_Induced,c,2.4208632706483737,0.06791056107721768,0,0,0.953017269681681,0.953017269681681,1.515601223993829,0.04726993391217305,0.0024829310848257166,107.60768690356186,107.60768690356184,0.04726993391217305,0.04726993391217306,0.0024829310848257157,-0.005448874357830816,1982.6249999999902,2006.8749999999682,
EBMKF_ta4,43/2_Kalman,c,1.9132744682552654,0.030082936758612473,133,82,0.0008245318158603754,0.0015466417274790964,0.542946736318486,0.047127695009735585,-0.008238219700927037,87.41442454727624,9.83833462808601,0.0476956975471787,0.047732908896959615,-0.04147699617946779,-0.04651645384656045,1988.041666666652,2012.8749999999627,
FaIR_comb_unB,43/1_ERF_FaIR,c,1.8800824477416866,0.032145303634343994,43,0,0.2068965517241379,0.2068965517241379,1.5082590655760744,0.04763199637580965,-0.025140144009585256,131.21853870511848,131.21853870511848,0.04763199637580965,0.04125565895108932,-0.02514014400958525,0.0064713047895074306,1985.5416666666542,2010.041666666632,
equal_weight_comb,co/combination,c,4.071113844267068,0.03793607831654977,0,0,0.9658222478230656,0.9658222478230656,2.055266107351631,0.029269745615957566,-0.009398637082355651,330.8978432836126,201.67560157250352,0.026938710019669947,0.025315736140094657,-0.014232142294729347,-0.01759775885462655,1986.5416666666533,2012.0416666666301,
PIVW_comb,co/combination,c,3.398870377544144,0.03313316836120945,0,0,0.9907239162472757,0.9907239162472757,2.1814168485478898,0.025956831624551018,-0.007369076087456388,351.20811261621026,212.96736264203264,0.024342029039229107,0.021686166224531702,-0.016606195078564298,-0.012142877309546224,1986.3749999999868,2011.5416666666306,
