method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,100RMS,100bias,l15,l20,bias50,Edyrs15,Edyrs20,EdyrsA,RMSyrsA,ncEdyrs,e100log-l,e100RMS,e100bias,el15,el20,ebias50,eEdyrs15,eEdyrs20,eEdyrsA,eRMSyrsA,nceEdyrs
cent30y,42/1_Run_Means,r,0.7190145146538536,0.036661384139610086,0,0,0.9977215368225203,0.9977215368225203,2.2219198937451026,0.019069701285407886,0.002915267129871168,491.0442965176677,174.3450192571533,0.012863116229811128,0.0040471203186932736,8.578363498698135,6.670850568555972,0.0014991215297154017,0.0,0.0,0.0,0.0,0.0,166.2757021465124,0.024172947510185935,-0.0007211823423369646,7.932875259529007,7.046474443391985,0.023494671941151055,0.0,0.0,0.0,0.0,0.0
raw1y,42/1_Run_Means,c,31.157394143440726,0.12422501050663053,0,0,0.9520016145134621,0.9520016145134621,0.7342300991026319,0.11519535900283988,-0.002540878628761592,169.60715289270797,73.11119058078742,0.10647310036427318,-0.004696602291531033,2.9687611686519735,2.231582183553284,-0.002536076307296753,-1.527777777622532,1.0833333335006046,-0.14785879610489394,1.3511101842653632,54.3,69.87723976556254,0.11101281680777127,-0.008421031417760193,2.6288912903617176,2.925798802521498,0.018462707923383094,-0.361111110957836,1.66666666683318,-0.23218599014988128,0.23218599014988128,52.3
raw1y,42/1_Run_Means,r,31.157394143440726,0.12422501050663053,0,0,0.9520016145134621,0.9520016145134621,0.7342300991026319,0.11519535900283988,-0.002540878628761592,169.60715289270797,73.11119058078742,0.10647310036427318,-0.004696602291531033,2.9687611686519735,2.231582183553284,-0.002536076307296753,0.0,0.0,0.0,0.0,0.0,69.87723976556254,0.11101281680777127,-0.008421031417760193,2.6288912903617176,2.925798802521498,0.018462707923383094,0.0,0.0,0.0,0.0,0.0
cent21y,42/1_Run_Means,r,1.4926390125721902,0.0370242052693202,0,0,0.9981800609462057,0.9981800609462057,2.398306548439191,0.004237911373426693,0.00028000027520856235,554.0088126894532,195.42448875399185,0.003973414087800768,0.0003056824207305908,9.27572322161864,7.193505779711088,6.183981895446777e-05,0.0,0.0,0.0,0.0,0.0,178.99217542201026,0.026689484486372553,-0.003418746705498568,6.265034706330095,7.255323812115489,0.021060624049634314,0.0,0.0,0.0,0.0,0.0
lag5y,42/1_Run_Means,c,5.810175370910994,0.04995338550753481,89,25,2.1746001582259087e-11,0.004224747030343113,0.8176182978999987,0.06596341366223601,-0.032523251764296886,188.8698268148997,29.549706757817283,0.07478864521415439,-0.06200848354233636,2.501435716340402,5.7266063392762305,-0.07395759522914887,0.8333333334865074,1.6666666668334074,2.081597222413857,2.33130181917697,25.0,12.541954298346838,0.08038180039282063,-0.06573291266856551,0.48278190109131625,0.9026169478509886,-0.05295881099846902,2.0000000001512035,2.250000000165983,2.0815217393189474,2.0815217393189474,24.0
cent20y,42/1_Run_Means,r,1.0,0.03712600622791678,0,0,1.0,1.0,2.400921706532156,0.0,0.0,554.612914208928,196.88115709664447,0.0,0.0,9.325076161846878,7.279558560972238,0.0,0.0,0.0,0.0,0.0,0.0,179.5986404848867,0.02672037076190862,-0.0037244291262291587,6.734034363374545,6.925237759181103,0.020998784230679846,0.0,0.0,0.0,0.0,0.0
lag10y,42/1_Run_Means,c,2.937365000330359,0.041770634826100335,153,98,2.0089940527109545e-07,6.167122228098746e-07,-0.5689763586615938,0.09597946496968301,-0.06777913517241056,-131.43353885082817,-333.46222349279003,0.13869364563102307,-0.1332638290193346,0.19541353462762248,0.03570258847242008,-0.16229458451271056,4.666666666816354,4.750000000163709,4.6701388890810165,4.73581581046817,24.0,-369.141449604982,0.14147818551737334,-0.13698825814556376,0.006941708882817633,0.0004311806802189881,-0.14129580028203073,5.83333333348105,5.3333333334962845,4.648550724826444,4.648550724826444,23.0
OLS_hinge75,42/2_LT_Fits,c,2.040710918041575,0.03704721336059102,89,56,2.6756816585678856e-15,6.218642648111729e-13,-4.980558584320039,0.12083316021172673,-0.06962180918493899,-776.967139153926,-873.5194441228086,0.1514908276920879,-0.12551976403856632,2.8527892054516593,0.00031597061138265305,-0.213717701634204,1.750000000152113,4.833333333497194,4.826388889083195,5.309081144099627,24.0,-770.4057651890962,0.14506354398328164,-0.1292441931647955,0.32173444736299933,5.378167544369206e-06,-0.19271891740352415,2.916666666816809,5.416666666829769,4.706521739321301,4.706521739321301,23.0
OLS_hinge75,42/2_LT_Fits,r,0.5230609074940037,0.024398379102464108,111,89,3.57199868799261e-33,8.713739655395659e-31,-13.266419010314586,0.12142866323952003,0.01413870267698004,-2069.5613656090754,-1761.153446400152,0.12282608345795656,0.06930263465888176,5.264558495239909e-29,1.263120110010361e-15,-0.005180452486347242,0.0,0.0,0.0,0.0,0.0,-1377.2563967515107,0.1115922348089924,0.0655782055326526,4.743801294934468e-20,8.215006758674033e-13,0.015818331744332604,0.0,0.0,0.0,0.0,0.0
OLS_refit,42/2_LT_Fits,c,0.7434759978185838,0.037128886037582305,138,133,1.6987663059599797e-44,1.6987663059599797e-44,-42.69985719417233,0.38995201114612976,-0.3022903867432121,-6020.679864378299,-5848.94125054655,0.48179261160980774,-0.4523804575446377,7.998911788645962e-21,2.523652557045183e-32,-0.6219238923489747,15.0,15.0,15.0,15.0,0.0,-5947.591765416249,0.47888005496200214,-0.45610488667086696,1.028242896664037e-24,1.728629808024346e-35,-0.6009251081182948,15.0,15.0,15.0,15.0,0.0
